ID,start,end,length
0,0,176.5,176.5
1,176.5,361.3,184.8
2,361.3,475.5,114.2
3,475.5,563.6,88.1
4,563.6,616.6,53
5,616.6,716,99.4
6,716,862.1,146.1
7,862.1,987.4,125.3
8,987.4,1044.6,57.2
9,1044.6,1173,128.4
10,1173,1315.3,142.3
11,1315.3,1371,55.7
12,1371,1482,111
13,1482,1562.6,80.6
14,1562.6,1610.3,47.7
15,1610.3,1720.4,110.1
16,1720.4,1782,61.6
17,1782,1964.6,182.6
18,1964.6,2140.3,175.7
19,2140.3,2263.8,123.5
20,2263.8,2374.2,110.4
21,2374.2,2485.2,111
22,2485.2,2617.9,132.7
23,2617.9,2723.4,105.5
24,2723.4,2868.6,145.2
25,2868.6,3015.1,146.5
26,3015.1,3125.2,110.1
27,3125.2,3197.2,72
28,3197.2,3264.7,67.5
29,3264.7,3318.5,53.8
30,3318.5,3395.7,77.2
31,3395.7,3515,119.3
32,3515,3565.4,50.4
33,3565.4,3628,62.6
34,3628,3777.6,149.6
35,3777.6,3882,104.4
36,3882,3940.4,58.4
37,3940.4,4086.7,146.3
38,4086.7,4155.5,68.8
39,4155.5,4254.9,99.4
40,4254.9,4312.7,57.8
41,4312.7,4452.9,140.2
42,4452.9,4553.2,100.3
43,4553.2,4618,64.8
44,4618,4767.3,149.3
45,4767.3,4865.7,98.4
46,4865.7,4969.8,104.1
47,4969.8,5029.3,59.5
48,5029.3,5101.1,71.8
49,5101.1,5174,72.9
50,5174,5258.7,84.7
